rank,title,year,venue,doi,url,cited_by_count,relevance_score,source_queries,concepts,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt,serious_skim_rank,deep_read_rank,hostile_prior_rank
1,"Perception, control, and hardware for in-hand slip-aware object manipulation with parallel grippers",2025,The International Journal of Robotics Research,10.1177/02783649251397549,https://doi.org/10.1177/02783649251397549,0,94.0,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",available contact observables; deployment embodiment/domain,"success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"Dexterous in-hand manipulation offers significant potential to enhance robotic manipulator capabilities. This paper presents a sensori-motor architecture for in-hand slip-aware control, being embodied in a sensorized gripper. The gripper in our architecture features rapid closed-loop, low-level force control and is equipped with sensors capable of independently measuring contact forces and sliding velocities. Our system can quickly estimate essential object properties during pick-up using only in-hand sensing, with",1,1,4
2,Systematic object-invariant in-hand manipulation via reconfigurable underactuation: Introducing the RUTH gripper,2021,The International Journal of Robotics Research,10.1177/02783649211048929,https://doi.org/10.1177/02783649211048929,30,93.483,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",available contact observables; deployment embodiment/domain,"visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"We introduce a reconfigurable underactuated robot hand able to perform systematic prehensile in-hand manipulations regardless of object size or shape. The hand utilizes a two-degree-of-freedom five-bar linkage as the palm of the gripper, with three three-phalanx underactuated fingers, jointly controlled by a single actuator, connected to the mobile revolute joints of the palm. Three actuators are used in the robot hand system in total, one for controlling the force exerted on objects by the fingers through an under",2,2,1
3,Bioinspired Swallowing Soft Gripper with Toroidal Optical Waveguides for Multimodal Interactive Perception,2026,Soft Robotics,10.1177/21695172261451702,https://doi.org/10.1177/21695172261451702,0,93.0,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; soft/suction gripper mechanism,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",available contact observables; deployment embodiment/domain,"success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"Multimodal soft grippers can adapt grasping strategies to diverse environments, yet integrating sensors under large, coupled deformations remains challenging. Inspired by the mechanosensation of sea anemones and their ability to swallow, this article presents a soft gripper that integrates eight toroidal optical waveguides to realize three modes-contacting, expansion, and swallowing-with continuous proprioceptive feedback. Deformation-induced optical attenuation, processed by machine-learning pipelines, enables per",3,3,3
4,Enhancing user perception through haptic feedback during aerial manipulation,2026,Industrial Robot: the international journal of robotics research and application,10.1108/ir-06-2025-0210,https://doi.org/10.1108/ir-06-2025-0210,0,90.0,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",contact sensor layout/calibration; deployment embodiment/domain,"success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,"Purpose The purpose of this paper is to introduce the design, development and evaluation of a drone-integrated robotic gripper system with advanced object manipulation capabilities. The system, precisely crafted using 3D printing and through sensor integration, features a secure grasping mechanism. The system is capable of rendering grasping force and weight to the user using a wearable device. Design/methodology/approach It consists of two main components: the remote-control system (RCS) and the onboard system (OB",4,4,2
5,Teaching and Reproduction for In-Hand Object Manipulation,2025,Journal of Robotics and Mechatronics,10.20965/jrm.2025.p0444,https://doi.org/10.20965/jrm.2025.p0444,0,88.0,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",available contact observables; deployment embodiment/domain,"success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"The industrial sector has demonstrated increased interest in implementing in-hand manipulation as an alternative to conventional parallel gripper hands, enabling dexterous object handling with substantial pose changes. In-hand manipulation involves challenges such as complex contact transitions with robot fingers and difficult-to-model factors such as friction and surface irregularities, which complicate real-world applications despite successful simulations. This study proposes a novel approach for in-hand manipul",5,5,7
6,Evaluation of different robotic grippers for simultaneous multi-object grasping,2024,Frontiers in Robotics and AI,10.3389/frobt.2024.1351932,https://doi.org/10.3389/frobt.2024.1351932,7,82.806,robot grasping object recognition,,Predict or execute stable grasps and manipulation actions from object observations.,grasp synthesis or grasp quality model; soft/suction gripper mechanism,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",available contact observables; label ontology; deployment embodiment/domain,"unmodeled probing choices hide discriminative variables; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes grasp-conditioned measurements and success prediction less novel; usually treats object labels as fixed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; mechanistic demonstration beyond benchmark score changes,"For certain tasks in logistics, especially bin picking and packing, humans resort to a strategy of grasping multiple objects simultaneously, thus reducing picking and transport time. In contrast, robotic systems mainly grasp only one object per picking action, which leads to inefficiencies that could be solved with a smarter gripping hardware and strategies. Development of new manipulators, robotic hands, hybrid or specialized grippers, can already consider such challenges for multi-object grasping in the design st",6,6,9
7,Contact Location Display for Haptic Perception of Curvature and Object Motion,2005,The International Journal of Robotics Research,10.1177/0278364905057121,https://doi.org/10.1177/0278364905057121,94,81.455,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",end-effector morphology; contact sensor layout/calibration; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,"We present a new tactile display for use in dexterous telemanipulation and virtual reality. Our system renders the location of the contact centroid moving on the user's fingertip. Constructed in a thimble-sized package and mounted on a haptic force-feedback device, it provides the user with concurrent feedback of contact location and interaction forces. We believe such a design will enable more versatile object manipulation and richer haptic interactions. To evaluate this display concept, we conducted two perceptua",7,7,5
8,Hand-object configuration estimation using particle filters for dexterous in-hand manipulation,2020,The International Journal of Robotics Research,10.1177/0278364919883343,https://doi.org/10.1177/0278364919883343,24,81.296,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",contact sensor layout/calibration; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,"We consider the problem of in-hand dexterous manipulation with a focus on unknown or uncertain hand-object parameters, such as hand configuration, object pose within hand, and contact positions. In particular, in this work we formulate a generic framework for hand-object configuration estimation using underactuated hands as an example. Owing to the passive reconfigurability and the lack of encoders in the hand's joints, it is challenging to estimate, plan, and actively control underactuated manipulation. By modelin",8,8,6
9,"Towards automating construction tasks: Largescale object mapping, segmentation, and manipulation",2021,Journal of Field Robotics,10.1002/rob.22007,https://doi.org/10.1002/rob.22007,30,79.483,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"Abstract Automating building processes through robotic systems has the potential to address the need for safer, more efficient, and sustainable construction operations. While ongoing research effort often targets the use of prefabricated materials in controlled environments, here we focus on utilizing objects found onsite, such as irregularly shaped rocks and rubble, as a way of enabling novel types of construction in remote and extreme environments, where standard building materials might not be easily accessible.",9,9,12
10,Proprioceptive Object Shape and Size Extraction via In-Hand-Manipulation with a Variable Friction Robot Gripper,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11128387,https://doi.org/10.1109/icra55743.2025.11128387,0,78.5,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",available contact observables; deployment embodiment/domain,"visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,10,10,18
