rank,title,year,venue,relevance_score,problem,mechanism,assumptions,leaves_open
1,Systematic object-invariant in-hand manipulation via reconfigurable underactuation: Introducing the RUTH gripper,2021,The International Journal of Robotics Research,93.483,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
2,Enhancing user perception through haptic feedback during aerial manipulation,2026,Industrial Robot: the international journal of robotics research and application,90.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
3,Bioinspired Swallowing Soft Gripper with Toroidal Optical Waveguides for Multimodal Interactive Perception,2026,Soft Robotics,93.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; soft/suction gripper mechanism,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
4,"Perception, control, and hardware for in-hand slip-aware object manipulation with parallel grippers",2025,The International Journal of Robotics Research,94.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
5,Contact Location Display for Haptic Perception of Curvature and Object Motion,2005,The International Journal of Robotics Research,81.455,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
6,Hand-object configuration estimation using particle filters for dexterous in-hand manipulation,2020,The International Journal of Robotics Research,81.296,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
7,Teaching and Reproduction for In-Hand Object Manipulation,2025,Journal of Robotics and Mechatronics,88.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
8,Object recognition using tactile sensing in a robotic gripper,2022,Insight - Non-Destructive Testing and Condition Monitoring,77.204,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
9,Evaluation of different robotic grippers for simultaneous multi-object grasping,2024,Frontiers in Robotics and AI,82.806,Predict or execute stable grasps and manipulation actions from object observations.,grasp synthesis or grasp quality model; soft/suction gripper mechanism,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; mechanistic demonstration beyond benchmark score changes
10,"Perception, navigation, and manipulation in the team KAUST approach to the MBZIRC ground robotics challenge",2019,Journal of Field Robotics,76.454,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
